created_at,id,title,url,num_points,num_comments,author,hours
2016-08-16 09:55:00,12296411,Ask HN: How to improve my personal website?,,2,6,ahmedbaracat,9
2015-11-22 13:43:00,10610020,Ask HN: Am I the only one outraged by Twitter shutting down share counts?,,28,29,tkfx,13
2016-05-02 10:14:00,11610310,Ask HN: Aby recent changes to CSS that broke mobile?,,1,1,polskibus,10
2016-08-02 14:20:00,12210105,Ask HN: Looking for Employee #3 How do I do it?,,1,3,sph130,14
2015-10-15 16:38:00,10394168,Ask HN: Someone offered to buy my browser extension from me. What now?,,28,17,roykolak,16
2015-09-26 23:23:00,10284812,"Ask HN: Limiting CPU, memory, and I/O usage on a program for testing",,2,1,zatkin,23
2016-04-22 12:24:00,11548576,Ask HN: Which framework for a CRUD app in 2016?,,4,4,deafcalculus,12
2015-11-16 09:22:00,10573430,Ask HN: Enter market with a well-funded competitor?,,2,1,sparkling,9
2016-02-24 17:57:00,11168708,Ask HN: Do you use any realtime PaaS/framework and in case you so which one?,,2,1,stemuk,17
2016-06-04 17:17:00,11837056,Ask HN: Is there a home Dropbox-style solution?  (better explanation inside),,3,2,coreyp_1,17
2015-09-19 17:04:00,10244832,Ask HN: How would you sell open source software?,,11,7,wjh_,17
2015-09-22 13:16:00,10258332,Ask HN: Chat-App based on Mail and PGP?,,1,1,Databay,13
2016-06-21 15:45:00,11946541,Ask HN: What you wish you knew before launching your first Wordpress Plugin?,,1,1,wp_newb,15
2016-01-13 21:17:00,10897571,Ask HN: How can we get porn sites to support HTTPS?,,8,4,lindx,21
2015-10-04 21:27:00,10328891,Ask HN: Looking for hacking games.,,3,4,dutchbrit,21
2016-01-25 20:27:00,10969705,Ask HN: Are GMail's new features making spam easier?,,3,2,aleem,20
2015-10-27 02:47:00,10455956,Ask HN: $500k revenue business  Shopify vs. Custom website?,,4,3,jimmygatz,2
2016-01-19 12:01:00,10930122,Ask HN: What you learned in 2015?,,2,1,justplay,12
2016-03-22 02:05:00,11333915,Ask HN: Critique my biz idea  local.menu the next Airbnb,,2,22,andrewfromx,2
2015-09-08 14:04:00,10185714,Ask HN: Resources for learning ASP.NET?,,2,2,Catalyst4NaN,14
2016-08-28 18:06:00,12377598,"Ask HN: Help Looking to find the x,y,z coordinates of a point in a room",,3,2,WheelsAtLarge,18
2016-07-20 13:44:00,12128917,"Ask HN: Apart from HN, what other websites you frequent for interesting content?",,19,7,TooSmugToFail,13
2016-09-12 16:52:00,12481330,"Ask HN: How to you browse, store, sync, and backup your family photos?",,8,7,stevesearer,16
2016-02-29 17:52:00,11196895,Ask HN: Native way to tell whether a link has been submitted and discussed before?,,3,3,exolymph,17
2016-04-18 15:28:00,11520674,Ask HN: Do programmers without a degree struggle in Canada (Toronto)?,,12,6,nikon,15
2015-12-28 14:38:00,10801230,Ask HN: Is asset building as a service (ABaaS) a good idea?,,3,2,tboyd47,14
2016-04-04 03:34:00,11419246,Ask HN: Containers and network access?,,3,1,zaroth,3
2016-01-15 21:47:00,10912392,Ask HN: What Products/Segments need an open source Alternative?,,11,3,bhanu423,21
2015-11-19 05:33:00,10592934,Ask HN: Is college even worth it if you're worth your salt as a programmer?,,12,29,frame_perfect,5
2015-12-20 03:59:00,10766005,Ask HN: Look for help order and deliver birthday cake in SF,,1,2,singularitynear,3
2015-10-15 21:34:00,10396159,Ask HN: What's the one thing you've always wanted to learn?,,8,20,alexgpark,21
2016-02-26 19:20:00,11183404,"Ask HN: How do you track FOSS releases, changelogs?",,4,3,andrewstuart2,19
2016-08-02 18:00:00,12211782,Ask HN: Hiring first employee for my startup. What documents need to be signed?,,2,3,dimasf,18
